Protein_name	RBP_flag	seqSVM_score	seqDNN_score	BLAST_SeqOnly_score	PPI_score	PIA_score
Q8IZF2	0	0.007927442948643587	0.156397	0.0	0.4926760491514672	0.7326759909074542
Q9H6Q4	0	0.43597185014190376	0.018141900000000002	0.0	0.3814129890081725	0.2382786122147648
Q5TAX3	1	0.373902143760343	0.5419778000000001	0.5581395348837209	0.8272002730260799	0.9787990808059754
Q86XA8	0	0.01703472767920759	0.0015450301999999998	0.010869565217391304	0.147046438078551	0.1906785486070653
P19883	0	0.051948732885268106	0.043334345999999996	0.01098901098901099	0.1301947002161391	0.052726760152640634
C9JDE9	0	0.5972230018488033	0.78048867	0.3333333333333333	0.6613473479535233	0.7254239265406759
Q02094	0	0.006311870951510171	0.24787729999999997	0.0	0.12475933332519135	0.057346188806760776
Q8N1K8	0	0.5417616304755525	0.21910362	0.0196078431372549	0.8786201076252118	0.895246122336657
Q96FN9	0	0.7740694097240863	0.89129335	0.0	0.1336576030576896	0.18674479419064924
Q9Y5S1	0	0.047999203335212064	0.01719583	0.018633540372670808	0.21137234579092884	0.0723388180780328
D6RAP2	0	0.010641100039124732	0.0025335224	0.05629139072847682	0.1271178384374872	0.11248328636706556
Q5TGZ0	0	0.1159062556537947	0.019851996	0.0	0.644534829948165	0.4631285774824042
Q14671	1	0.470040957724259	0.9168016	0.6666666666666666	0.8976899799377964	0.9537084338392612
Q99518	0	0.11085074290587364	0.017568486	0.125	0.14797028363155326	0.06369413666209994
Q96P63	0	0.17961774792963114	0.03313372	0.07317073170731707	0.939544251661054	0.8924641277001708
Q8ND30	0	0.5508940002834376	0.32054704	0.08653846153846154	0.3591228104610012	0.19081088453357184
O94760	0	0.5316839871794278	0.84838957	0.1111111111111111	0.4090614175583087	0.2411925539770035
P07099	0	0.10387036284055508	0.023997888	0.0	0.4237367079832101	0.3823770883409441
A2RUT3	0	0.02641112938723415	0.0016183672	0.0	0.11583497061373595	0.13615449435455435
Q7Z465	0	0.10126981439550736	0.049897395	0.09523809523809523	0.20954750105800726	0.07903812122845283
